Title;Artist;Album;Track;Genre;Year;Length;Filename;
Sauvignon Blanc;Tristate;The Academy 3;01/34;Hip Hop;2021;165;Tristate - 01 - Sauvignon Blanc.mp3;
Six Days;Undo;Various Artists #1;7;Electronic;2020;366;Undo - 07 - Six Days.mp3;
Born Again;V feat. Jill Scott ;The Ultimate Collection Soul 100 Hits CD04;20;Soul;2008;250;V feat. Jill Scott  - 20 - Born Again.mp3;
The Dumbest Wealth;Vic Spencer;The Academy 3;32/34;Hip Hop;2021;94;Vic Spencer - 32 - The Dumbest Wealth.mp3;
Keep the Relax (Original Mix);Vie Elettronique;Chill out Magnifique, Vol. 2;14;Electronic Chill;2019-11-22;142;Vie Elettronique - 14 - Keep the Relax (Original Mix).mp3;
Go Go Gadget;Vivid & OneBrotherGrimm;Winter Collection 2017;04/19;Electronic;2017;379;Vivid & OneBrotherGrimm - 04 - Go Go Gadget.mp3;
A Love Supreme;Will Downing ;Ultimate Soul Collection Soul 100 Hits CD3;19;Soul;2008;281;Will Downing  - 19 - A Love Supreme.mp3;
Swing By My Way;Will.i.am feat. John Legend ;The Ultimate Collection Soul 100 Hits CD04;5;Soul;2008;219;Will.i.am feat. John Legend  - 05 - Swing By My Way.mp3;
Crazy for My Baby (Original Mix);Willie Dixon;The Magic of Rhythm and Blues, Vol. 1;01;Rhythm n Blues;2021;171;Willie Dixon - 01 - Crazy for My Baby (Original Mix).mp3;
This Pain in My Heart (Original Mix);Willie Dixon;The Magic of Rhythm and Blues, Vol. 1;17;Rhythm n Blues;2021;198;Willie Dixon - 17 - This Pain in My Heart (Original Mix).mp3;
Seventh Son (Original Mix);Willie Mabon;The Magic of Rhythm and Blues, Vol. 1;16;Rhythm n Blues;2021;173;Willie Mabon - 16 - Seventh Son (Original Mix).mp3;
Won't Stop;Wolfgang Lohr;Winter Collection 2017;01/19;Electronic;2017;344;Wolfgang Lohr - 01 - Won't Stop.mp3;
Mean Talking Blues;Woody Guthrie;The Greenwich Village Folk Scene CD3;8/20;Folk;2014;209;Woody Guthrie - 08 - Mean Talking Blues.mp3;
New York Town;Woody Guthrie;The Greenwich Village Folk Scene CD2;15/20;Folk;2014;158;Woody Guthrie - 15 - New York Town.mp3;
This Land Is Your Land;Woody Guthrie;The Greenwich Village Folk Scene CD1;20;Folk;2014;139;Woody Guthrie - 20 - This Land Is Your Land.mp3;
King;Years & Years, Olly Alexander, Emre Turkmen, Michael Goldsworthy;100 Greatest Modern Pop Songs;41;Pop;2020;215;Years & Years, Olly Alexander, Emre Turkmen, Michael Goldsworthy - 41 - King.mp3;
Lost In Time;Yellowteeth;Various Artists #1;9;Electronic;2020;464;Yellowteeth - 09 - Lost In Time.mp3;
Apparently Nothin';Young Disciples ;The Ultimate Collection Soul 100 Hits CD04;8;Soul;2008;240;Young Disciples  - 08 - Apparently Nothin'.mp3;
Rewind;Yöurr;Various Artists #2;3;Electronic;2021;383;Yöurr - 03 - Rewind.mp3;
Concerto For Cello & Orchestra, Op. 104 (B Minor): Allegro;Yo-Yo Ma;Dvorak - Concerto For Cello & Orchestra, Op. 104 (B Minor)/Silent Woods, Op. 68, No. 5/R;1/5;Classical;;972;Yo-Yo Ma - 01 - Concerto For Cello & Orchestra, Op. 104 (B Minor) Allegro.mp3;
PILLOWTALK;ZAYN;100 Greatest Modern Pop Songs;39;Pop;2020;204;ZAYN - 39 - PILLOWTALK.mp3;
build on 5/28/2022 with Mp3tag v3.14 - the universal Tag editor - http://www.mp3tag.de/en/
